latitude,longitude
38.054009,23.317695
38.053956,23.323509
38.054561,23.322139
38.055495,23.323238
38.054923,23.319803
38.055073,23.322893
38.056859,23.320494
38.053523,23.320615
38.054165,23.32151
38.054534,23.319565
38.056772,23.319353
38.055339,23.320073
38.0552,23.317924
38.053853,23.322472
38.055725,23.320336
38.055658,23.321523
38.053011,23.319773
38.057145,23.318128
38.054179,23.316992
38.055825,23.319586
38.055466,23.319211
38.056779,23.31563
38.056506,23.315168
38.056111,23.320794
38.054508,23.321044
38.056181,23.321993
38.057172,23.319632
38.054534,23.320331
38.056244,23.320019
38.054987,23.31887
38.056423,23.316975
38.055499,23.318137
38.056646,23.322339
38.053484,23.322072
38.053078,23.323484
38.05633,23.319082
38.056453,23.323638
38.056343,23.317645
38.055203,23.321252
38.054697,23.324342
38.056736,23.321348
38.057218,23.31605
38.056709,23.317908
38.053104,23.32206
38.056447,23.321135
38.056633,23.320086
38.055885,23.314922
38.053231,23.318216
38.053094,23.320881
38.056048,23.323509
38.053853,23.319065
38.057188,23.322772
38.057135,23.323676
38.057012,23.320935
38.057228,23.321993
38.054272,23.320082
38.054132,23.32079
38.055934,23.318432
38.057172,23.315176
38.056314,23.325487
38.056995,23.317046
38.058762,23.317857
38.059901,23.320832
38.058998,23.322823
38.059907,23.322147
38.060806,23.323049
38.058788,23.320927
38.061637,23.31723
38.059592,23.323354
38.060196,23.32159
38.06056,23.324059
38.059523,23.321796
38.060951,23.322258
38.061899,23.317803
38.060081,23.3234
38.060534,23.321887
38.060485,23.322691
38.060928,23.318075
38.060196,23.322431
38.058385,23.320465
38.058568,23.318569
38.061003,23.324195
38.058362,23.324636
38.0591,23.321285
38.058283,23.322093
38.06184,23.324838
38.058391,23.317028
38.058588,23.319175
38.061591,23.32328
38.058122,23.320202
38.061975,23.322934
38.060412,23.336336
38.062476,23.327299
38.062557,23.328906
38.058486,23.3283
38.055528,23.334356
38.05688,23.332591
38.057338,23.334957
38.056518,23.332324
38.056052,23.328975
38.057069,23.327437
38.056107,23.327484
38.053345,23.334781
38.05471,23.328047
38.055704,23.333523
38.056624,23.329284
38.054804,23.327596
38.05331,23.327987
38.056511,23.326801
38.055166,23.33427
38.05688,23.332591
38.057338,23.334948
38.055328,23.337817
38.055293,23.337091
38.057352,23.333643
38.054762,23.33512
38.055521,23.335133
38.052443,23.325711
38.052562,23.332885
38.052391,23.328275
38.052509,23.327119
38.048119,23.337174
38.048091,23.329338
38.050083,23.318115
38.048837,23.323203
38.047888,23.317358
38.04837,23.316452
38.049523,23.322397
38.051631,23.319156
38.051118,23.317159
38.048809,23.317299
38.051666,23.317981
38.052054,23.323492
38.048049,23.321242
38.051314,23.316572
38.05073,23.317433
38.04904,23.320828
38.050624,23.319863
38.047241,23.316542
38.048437,23.317876
38.050647,23.315551
38.047528,23.323795
38.047661,23.321037
38.051631,23.315925
38.047383,23.322018
38.050608,23.318334
38.048962,23.317806
38.04944,23.321869
38.052137,23.322377
38.050804,23.31921
38.051247,23.319295
38.049248,23.319743
38.048946,23.323626
38.048978,23.324104
38.048382,23.315949
38.048453,23.315098
38.049209,23.314102
38.048754,23.320923
38.051333,23.326549
38.050216,23.31939
38.052036,23.307299
38.052786,23.309219
38.052771,23.306624
38.049374,23.313205
38.056825,23.306481
38.057643,23.307279
38.05794,23.310055
38.056026,23.306126
38.058171,23.303419
38.057991,23.309552
38.058186,23.310576
38.058215,23.30929
38.053935,23.302372
38.053781,23.307048
38.05938,23.310019
38.059127,23.311254
38.059002,23.30482
38.060741,23.312131
38.062761,23.311773
38.06176,23.311232
38.063207,23.312064
38.060524,23.310677
38.062772,23.310664
38.060203,23.311465
38.063053,23.301629
38.06176,23.312337
38.063192,23.309003
38.058831,23.310726
38.063346,23.30073
38.061001,23.310856
38.062711,23.300855
38.061211,23.307294
38.059006,23.30839
38.063296,23.310999
